"2021-01-01", "cdei", "en", "cyclofix", "MapComplete 0.2.6a", 1, 0, "Adding data with #MapComplete for theme #cyclofix", null
"2021-01-01", "ImagineDavis", "en", "cyclofix", "MapComplete 0.2.6a", 0, 9, "Adding data with #MapComplete for theme #cyclofix", null
"2021-01-01", "micheltz", "en", "cyclofix", "MapComplete 0.2.6a", 0, 2, "Adding data with #MapComplete for theme #cyclofix", null
"2021-01-01", "micheltz", "en", "cyclofix", "MapComplete 0.2.6a", 1, 0, "Adding data with #MapComplete for theme #cyclofix", null
"2021-01-01", "Pieter Vander Vennet", "en", "toilets", "MapComplete 0.2.6a", 0, 1, "Adding data with #MapComplete for theme #toilets", null
"2021-01-01", "skifans", "en", "cyclofix", "MapComplete 0.2.6a", 0, 1, "Adding data with #MapComplete for theme #cyclofix", null
"2021-01-01", "yogeek23", "en", "cyclofix", "MapComplete 0.2.6a", 2, 0, "Adding data with #MapComplete for theme #cyclofix", null
"2021-01-02", "Amir S", "en", "toilets", "MapComplete 0.2.6a", 0, 3, "Adding data with #MapComplete for theme #toilets", null
"2021-01-02", "Felix Edelmann", "de", "benches", "MapComplete 0.2.5g", 9, 34, "Adding data with #MapComplete for theme #benches", null
"2021-01-02", "Hejsja", "en", "cyclofix", "MapComplete 0.2.5g", 0, 1, "Adding data with #MapComplete for theme #cyclofix", null
"2021-01-02", "NickFolzie", "en", "cyclofix", "MapComplete 0.2.6a", 2, 24, "Adding data with #MapComplete for theme #cyclofix", null
"2021-01-02", "RW_Emerson", "en", "cyclofix", "MapComplete 0.2.6a", 0, 3, "Adding data with #MapComplete for theme #cyclofix", null
"2021-01-02", "techie66", "en", "charging_stations", "MapComplete 0.2.6a", 2, 6, "Adding data with #MapComplete for theme #charging_stations", null
"2021-01-02", "techie66", "en", "toilets", "MapComplete 0.2.6a", 2, 10, "Adding data with #MapComplete for theme #toilets", null
"2021-01-04", "Dries Verdoodt", "en", "cyclofix", "MapComplete 0.2.7-rc2", 0, 1, "Adding data with #MapComplete for theme #cyclofix", "pietervdvn.github.io"
"2021-01-04", "Dries Verdoodt", "nl", "fietsstraten", "MapComplete 0.2.7-rc2", 0, 1, "Adding data with #MapComplete for theme #fietsstraten", "pietervdvn.github.io"
"2021-01-04", "IlesD", "en", "cyclofix", "MapComplete 0.2.6a", 1, 4, "Adding data with #MapComplete for theme #cyclofix", null
"2021-01-04", "Pieter Vander Vennet", "en", "trees", "MapComplete 0.2.7-rc2", 4, 8, "Adding data with #MapComplete for theme #trees", "pietervdvn.github.io"
"2021-01-04", "Pieter Vander Vennet", "en", "trees", "MapComplete 0.2.7-rc4", 2, 4, "Adding data with #MapComplete for theme #trees", "pietervdvn.github.io"
"2021-01-04", "Ukbabz", "en", "cyclofix", "MapComplete 0.2.6a", 1, 0, "Adding data with #MapComplete for theme #cyclofix", null
"2021-01-04", "Ukbabz", "en", "cyclofix", "MapComplete 0.2.6a", 1, 0, "Adding data with #MapComplete for theme #cyclofix", null
"2021-01-04", "Ukbabz", "en", "cyclofix", "MapComplete 0.2.6a", 2, 3, "Adding data with #MapComplete for theme #cyclofix", null
"2021-01-05", "Pieter Vander Vennet", "en", "cyclofix", "MapComplete 0.3.0b", 2, 12, "Adding data with #MapComplete for theme #cyclofix", "mapcomplete.osm.be"
"2021-01-05", "Pieter Vander Vennet", "nl", "cyclofix", "MapComplete 0.3.0a", 0, 1, "Adding data with #MapComplete for theme #cyclofix", "mapcomplete.osm.be"
"2021-01-06", "GOwin", "en", "cyclofix", "MapComplete 0.3.0b", 1, 4, "Adding data with #MapComplete for theme #cyclofix", "pietervdvn.github.io"
"2021-01-06", "HMAID", "nl", "aed", "MapComplete 0.3.0b", 1, 1, "Adding data with #MapComplete for theme #aed", "pietervdvn.github.io"
"2021-01-06", "HMAID", "nl", "cyclofix", "MapComplete 0.3.0b", 0, 2, "Adding data with #MapComplete for theme #cyclofix", "pietervdvn.github.io"
"2021-01-06", "Pieter Vander Vennet", "nl", "bicyclelib", "MapComplete 0.3.1 ", 1, 9, "Adding data with #MapComplete for theme #bicyclelib", "127.0.0.1:1234"
"2021-01-07", "Awo", "en", "ghostbikes", "MapComplete 0.3.2", 0, 3, "Adding data with #MapComplete for theme #ghostbikes", "pietervdvn.github.io"
